date,timeofday,Wind,Wind_Direction,Wind_Speed,Gusts,Variable_Winds,Temperature,Dewpoint,rhum,hourly,sixhourly,dayprecip,solid,liquid
2017-12-01 00:00:31,0.0003587962962962963,1,140,4,0,0,3,4,88,nan,nan,nan,0,0
2017-12-01 00:10:31,0.00730324074074074,1,150,5,0,0,4,6,88,nan,nan,nan,0,0
2017-12-01 00:20:31,0.014247685185185184,1,160,4,0,0,3,5,85,nan,nan,nan,0,0
2017-12-01 00:30:31,0.02119212962962963,1,160,4,0,0,2,4,81,nan,nan,nan,0,0
2017-12-01 00:40:31,0.028136574074074074,1,0,0,0,0,2,4,85,nan,nan,nan,0,0
2017-12-01 00:50:31,0.03508101851851852,1,150,3,0,0,3,5,85,nan,nan,nan,0,0
2017-12-01 01:00:31,0.042025462962962966,1,0,0,0,0,3,5,85,nan,nan,nan,0,0
2017-12-01 01:10:31,0.048969907407407406,1,150,3,0,0,3,5,88,nan,nan,nan,0,0
2017-12-01 01:20:31,0.055914351851851854,1,150,3,0,0,3,5,88,nan,nan,nan,0,0
2017-12-01 01:30:31,0.0628587962962963,1,150,5,0,0,3,5,88,nan,nan,nan,0,0
2017-12-01 01:40:31,0.06980324074074074,1,150,5,0,0,4,6,88,nan,nan,nan,0,0
2017-12-01 01:50:31,0.07674768518518518,1,150,4,0,0,3,5,85,nan,nan,nan,0,0
2017-12-01 02:00:31,0.08369212962962963,1,150,5,0,0,3,5,88,nan,nan,nan,0,0
2017-12-01 02:10:31,0.09063657407407408,1,140,4,0,0,3,5,85,nan,nan,nan,0,0
2017-12-01 02:20:31,0.09758101851851853,1,140,5,0,0,3,5,88,nan,nan,nan,0,0
2017-12-01 02:30:31,0.10452546296296296,1,140,5,0,0,3,5,85,nan,nan,nan,0,0
2017-12-01 02:40:31,0.1114699074074074,1,140,5,0,0,3,5,88,nan,nan,nan,0,0
2017-12-01 02:50:31,0.11841435185185185,1,140,5,0,0,3,6,85,nan,nan,nan,0,0
2017-12-01 03:00:31,0.1253587962962963,1,140,4,0,0,3,5,85,nan,nan,nan,0,0
2017-12-01 03:10:31,0.13230324074074074,1,140,4,0,0,3,5,85,nan,nan,nan,0,0
2017-12-01 03:20:31,0.13924768518518518,1,140,5,0,0,5,6,92,nan,nan,nan,0,0
2017-12-01 03:30:31,0.14619212962962963,1,140,5,0,0,3,6,85,nan,nan,nan,0,0
2017-12-01 03:40:31,0.15313657407407408,1,150,5,0,0,3,5,88,nan,nan,nan,0,0
2017-12-01 03:50:31,0.16008101851851853,1,150,6,0,0,3,6,85,nan,nan,nan,0,0
2017-12-01 04:00:31,0.16702546296296297,1,140,6,0,0,4,6,88,nan,nan,nan,0,0
2017-12-01 04:10:31,0.17396990740740742,1,140,6,0,0,4,6,92,nan,nan,nan,0,0
2017-12-01 04:20:31,0.18091435185185184,1,130,5,0,0,3,5,85,nan,nan,nan,0,0
2017-12-01 04:30:31,0.1878587962962963,1,130,3,0,0,2,5,81,nan,nan,nan,0,0
2017-12-01 04:40:31,0.19480324074074074,1,130,3,0,0,3,6,81,nan,nan,nan,0,0
2017-12-01 04:50:31,0.20174768518518518,1,140,4,0,0,4,6,88,nan,nan,nan,0,0
2017-12-01 05:00:31,0.20869212962962963,1,130,4,0,0,4,6,92,nan,nan,nan,0,0
2017-12-01 05:10:31,0.21563657407407408,1,140,4,0,0,3,5,88,nan,nan,nan,0,0
2017-12-01 05:20:31,0.22258101851851853,1,140,3,0,0,3,5,85,nan,nan,nan,0,0
2017-12-01 05:30:31,0.22952546296296297,1,140,5,0,0,3,5,88,nan,nan,nan,0,0
2017-12-01 05:40:31,0.23646990740740742,1,140,5,0,0,3,5,85,nan,nan,nan,0,0
2017-12-01 05:50:31,0.24341435185185184,1,130,4,0,0,3,5,85,nan,nan,nan,0,0
2017-12-01 06:00:31,0.2503587962962963,1,140,4,0,0,3,6,81,nan,nan,nan,0,0
2017-12-01 06:10:31,0.25730324074074074,1,130,3,0,0,3,5,88,nan,nan,nan,0,0
2017-12-01 06:20:31,0.2642476851851852,1,130,5,0,0,3,5,88,nan,nan,nan,0,0
2017-12-01 06:30:31,0.27119212962962963,1,130,4,0,0,2,5,81,nan,nan,nan,0,0
2017-12-01 06:40:31,0.27813657407407405,1,130,4,0,0,2,6,75,nan,nan,nan,0,0
2017-12-01 06:50:31,0.2850810185185185,1,130,3,0,0,2,5,81,nan,nan,nan,0,0
2017-12-01 07:00:31,0.29202546296296295,0,130,3,0,0,2,5,-900,nan,nan,nan,0,0
2017-12-01 07:10:31,0.2989699074074074,0,130,3,0,0,2,5,-900,nan,nan,nan,0,0
2017-12-01 07:20:31,0.30591435185185184,0,130,3,0,0,2,5,-900,nan,nan,nan,0,0
