14926KSTC STC20010901000009709/01/01 00:00:32  5-MIN KSTC 010600Z AUTO 00000KT 10SM CLR 10/09 A3004 910 96 600 000/00 RMK AO2
14926KSTC STC20010901000509709/01/01 00:05:31  5-MIN KSTC 010605Z AUTO 00000KT 10SM CLR 10/09 A3005 910 96 600 000/00 RMK AO2
14926KSTC STC20010901001009709/01/01 00:10:31  5-MIN KSTC 010610Z AUTO 00000KT 10SM CLR 10/09 A3005 910 96 600 000/00 RMK AO2
14926KSTC STC20010901001509709/01/01 00:15:31  5-MIN KSTC 010615Z AUTO 00000KT 10SM CLR 10/09 A3004 910 93 600 000/00 RMK AO2
14926KSTC STC20010901002009709/01/01 00:20:31  5-MIN KSTC 010620Z AUTO 12004KT 10SM CLR 10/09 A3004 920 96 600 120/04 RMK AO2
14926KSTC STC20010901002509709/01/01 00:25:31  5-MIN KSTC 010625Z AUTO 13004KT 10SM CLR 10/09 A3004 920 93 600 130/04 RMK AO2
14926KSTC STC20010901003009709/01/01 00:30:31  5-MIN KSTC 010630Z AUTO 13004KT 10SM CLR 10/09 A3004 920 93 600 130/04 RMK AO2
14926KSTC STC20010901003509709/01/01 00:35:31  5-MIN KSTC 010635Z AUTO 13004KT 10SM CLR 11/09 A3004 920 93 600 130/04 RMK AO2
14926KSTC STC20010901004009709/01/01 00:40:31  5-MIN KSTC 010640Z AUTO 13003KT 10SM CLR 10/09 A3004 920 93 600 130/03 RMK AO2
14926KSTC STC20010901004509709/01/01 00:45:31  5-MIN KSTC 010645Z AUTO 13003KT 10SM CLR 10/09 A3003 920 93 600 130/03 RMK AO2
14926KSTC STC20010901005011409/01/01 00:50:31  5-MIN KSTC 010650Z AUTO 14005KT 10SM CLR 10/09 A3003 920 93 600 130/05 RMK AO2 SLP179 T01000089
14926KSTC STC20010901005509709/01/01 00:55:31  5-MIN KSTC 010655Z AUTO 13004KT 10SM CLR 10/09 A3003 920 93 600 120/04 RMK AO2
14926KSTC STC20010901010009709/01/01 01:00:31  5-MIN KSTC 010700Z AUTO 13003KT 10SM CLR 11/09 A3004 920 93 600 130/03 RMK AO2
14926KSTC STC20010901010509709/01/01 01:05:31  5-MIN KSTC 010705Z AUTO 00000KT 10SM CLR 10/09 A3004 920 93 600 000/00 RMK AO2
14926KSTC STC20010901011009709/01/01 01:10:31  5-MIN KSTC 010710Z AUTO 20003KT 10SM CLR 10/09 A3004 920 96 600 190/03 RMK AO2
14926KSTC STC20010901011509709/01/01 01:15:31  5-MIN KSTC 010715Z AUTO 00000KT 10SM CLR 10/09 A3004 920 96 600 000/00 RMK AO2
14926KSTC STC20010901012009709/01/01 01:20:31  5-MIN KSTC 010720Z AUTO 00000KT 10SM CLR 10/09 A3003 920 93 600 000/00 RMK AO2
14926KSTC STC20010901012509709/01/01 01:25:31  5-MIN KSTC 010725Z AUTO 00000KT 10SM CLR 10/09 A3004 920 96 600 000/00 RMK AO2
14926KSTC STC20010901013009709/01/01 01:30:31  5-MIN KSTC 010730Z AUTO 00000KT 10SM CLR 09/09 A3004 920 96 500 000/00 RMK AO2
14926KSTC STC20010901013509709/01/01 01:35:31  5-MIN KSTC 010735Z AUTO 00000KT 10SM CLR 09/09 A3004 920 96 500 000/00 RMK AO2
14926KSTC STC20010901014009709/01/01 01:40:31  5-MIN KSTC 010740Z AUTO 00000KT 10SM CLR 09/09 A3004 920 96 500 000/00 RMK AO2
14926KSTC STC20010901014509709/01/01 01:45:31  5-MIN KSTC 010745Z AUTO 13003KT 10SM CLR 09/09 A3003 920 96 500 130/03 RMK AO2
14926KSTC STC20010901015011409/01/01 01:50:31  5-MIN KSTC 010750Z AUTO 12003KT 10SM CLR 09/09 A3004 920 96 500 120/03 RMK AO2 SLP181 T00940089
14926KSTC STC20010901015509709/01/01 01:55:31  5-MIN KSTC 010755Z AUTO 13003KT 10SM CLR 09/09 A3004 920 96 500 130/03 RMK AO2
14926KSTC STC20010901020009709/01/01 02:00:31  5-MIN KSTC 010800Z AUTO 00000KT 10SM CLR 09/09 A3004 920 96 500 000/00 RMK AO2
14926KSTC STC20010901020509709/01/01 02:05:31  5-MIN KSTC 010805Z AUTO 00000KT 10SM CLR 09/09 A3004 910 96 500 000/00 RMK AO2
14926KSTC STC20010901021009709/01/01 02:10:31  5-MIN KSTC 010810Z AUTO 00000KT 10SM CLR 09/09 A3005 910 96 500 000/00 RMK AO2
14926KSTC STC20010901021509709/01/01 02:15:31  5-MIN KSTC 010815Z AUTO 00000KT 10SM CLR 09/09 A3004 910 96 500 000/00 RMK AO2
14926KSTC STC20010901022009809/01/01 02:20:31  5-MIN KSTC 010820Z AUTO 13003KT 10SM CLR 09/09 A3004 910 100 400 130/03 RMK AO2
