14926KSTC STC20050401024510004/01/05 02:45:31  5-MIN KSTC 010845Z AUTO 28010KT 10SM CLR 02/M03 A3008  870 67 -400 280/10 RMK AO2
14926KSTC STC20050401025012304/01/05 02:50:31  5-MIN KSTC 010850Z AUTO 28008KT 10SM CLR 02/M03 A3008  880 67 -400 280/08 RMK AO2 SLP201 T00221033 50004
14926KSTC STC20050401025510004/01/05 02:55:31  5-MIN KSTC 010855Z AUTO 28008KT 10SM CLR 02/M03 A3008  880 69 -400 270/08 RMK AO2
14926KSTC STC20050401030010004/01/05 03:00:31  5-MIN KSTC 010900Z AUTO 28007KT 10SM CLR 02/M03 A3008  880 69 -400 270/07 RMK AO2
14926KSTC STC20050401030510004/01/05 03:05:31  5-MIN KSTC 010905Z AUTO 27007KT 10SM CLR 02/M03 A3008  880 69 -400 270/07 RMK AO2
14926KSTC STC20050401031010004/01/05 03:10:31  5-MIN KSTC 010910Z AUTO 27008KT 10SM CLR 01/M03 A3009  870 72 -500 270/08 RMK AO2
14926KSTC STC20050401031510004/01/05 03:15:31  5-MIN KSTC 010915Z AUTO 27008KT 10SM CLR 01/M03 A3009  870 72 -500 270/08 RMK AO2
14926KSTC STC20050401032010004/01/05 03:20:31  5-MIN KSTC 010920Z AUTO 27008KT 10SM CLR 01/M03 A3009  870 72 -500 270/08 RMK AO2
14926KSTC STC20050401032510004/01/05 03:25:31  5-MIN KSTC 010925Z AUTO 27007KT 10SM CLR 01/M03 A3009  870 72 -500 270/07 RMK AO2
14926KSTC STC20050401033010004/01/05 03:30:31  5-MIN KSTC 010930Z AUTO 28006KT 10SM CLR 01/M03 A3009  870 72 -500 280/06 RMK AO2
14926KSTC STC20050401033510004/01/05 03:35:31  5-MIN KSTC 010935Z AUTO 28006KT 10SM CLR 01/M03 A3009  870 75 -600 270/06 RMK AO2
14926KSTC STC20050401034010004/01/05 03:40:31  5-MIN KSTC 010940Z AUTO 28007KT 10SM CLR 01/M04 A3009  870 72 -600 270/07 RMK AO2
14926KSTC STC20050401034510004/01/05 03:45:31  5-MIN KSTC 010945Z AUTO 28007KT 10SM CLR 01/M03 A3009  870 75 -600 270/07 RMK AO2
14926KSTC STC20050401035011704/01/05 03:50:31  5-MIN KSTC 010950Z AUTO 28007KT 10SM CLR 01/M03 A3010  860 75 -600 270/07 RMK AO2 SLP206 T00061033
14926KSTC STC20050401035510004/01/05 03:55:31  5-MIN KSTC 010955Z AUTO 28008KT 10SM CLR 01/M03 A3010  860 72 -500 270/08 RMK AO2
14926KSTC STC20050401040010004/01/05 04:00:31  5-MIN KSTC 011000Z AUTO 28007KT 10SM CLR 01/M03 A3010  860 72 -500 270/07 RMK AO2
14926KSTC STC20050401040510004/01/05 04:05:31  5-MIN KSTC 011005Z AUTO 27008KT 10SM CLR 01/M03 A3010  860 75 -600 270/08 RMK AO2
14926KSTC STC20050401041010004/01/05 04:10:31  5-MIN KSTC 011010Z AUTO 27008KT 10SM CLR 01/M03 A3010  860 75 -600 270/08 RMK AO2
14926KSTC STC20050401041510004/01/05 04:15:31  5-MIN KSTC 011015Z AUTO 27008KT 10SM CLR 01/M03 A3009  870 75 -600 270/08 RMK AO2
14926KSTC STC20050401042010204/01/05 04:20:31  5-MIN KSTC 011020Z AUTO 27007KT 10SM FEW090 01/M03 A3009 870 75 -600 270/07 RMK AO2
14926KSTC STC20050401042510204/01/05 04:25:31  5-MIN KSTC 011025Z AUTO 28008KT 10SM FEW090 01/M03 A3009 870 75 -600 270/08 RMK AO2
14926KSTC STC20050401043010004/01/05 04:30:31  5-MIN KSTC 011030Z AUTO 28008KT 10SM CLR 01/M03 A3009  870 75 -600 280/08 RMK AO2
14926KSTC STC20050401043510004/01/05 04:35:31  5-MIN KSTC 011035Z AUTO 28009KT 10SM CLR 01/M03 A3010  860 75 -600 280/09 RMK AO2
14926KSTC STC20050401044010204/01/05 04:40:31  5-MIN KSTC 011040Z AUTO 29008KT 10SM FEW090 01/M03 A3010 860 75 -600 280/08 RMK AO2
14926KSTC STC20050401044510204/01/05 04:45:31  5-MIN KSTC 011045Z AUTO 29008KT 10SM SCT090 01/M03 A3010 860 75 -600 280/08 RMK AO2
14926KSTC STC20050401045011904/01/05 04:50:31  5-MIN KSTC 011050Z AUTO 28009KT 10SM BKN090 01/M03 A3010 860 72 -500 280/09 RMK AO2 SLP208 T00111033
14926KSTC STC20050401045510204/01/05 04:55:31  5-MIN KSTC 011055Z AUTO 28009KT 10SM SCT090 01/M03 A3010 860 75 -600 280/09 RMK AO2
14926KSTC STC20050401050010204/01/05 05:00:31  5-MIN KSTC 011100Z AUTO 28010KT 10SM SCT090 01/M03 A3010 860 72 -500 280/10 RMK AO2
14926KSTC STC20050401050510204/01/05 05:05:31  5-MIN KSTC 011105Z AUTO 28009KT 10SM SCT090 01/M03 A3010 860 75 -600 280/09 RMK AO2
14926KSTC STC20050401051010204/01/05 05:10:31  5-MIN KSTC 011110Z AUTO 29008KT 10SM FEW090 01/M03 A3010 860 75 -600 290/08 RMK AO2
14926KSTC STC20050401051510204/01/05 05:15:31  5-MIN KSTC 011115Z AUTO 29009KT 10SM FEW090 01/M03 A3010 860 75 -600 290/09 RMK AO2
14926KSTC STC20050401052010004/01/05 05:20:31  5-MIN KSTC 011120Z AUTO 29009KT 10SM CLR 01/M03 A3011  850 75 -600 290/09 RMK AO2
14926KSTC STC20050401052510004/01/05 05:25:31  5-MIN KSTC 011125Z AUTO 29009KT 10SM CLR 01/M03 A3011  850 75 -600 280/09 RMK AO2
14926KSTC STC20050401053010204/01/05 05:30:31  5-MIN KSTC 011130Z AUTO 29009KT 10SM FEW090 01/M03 A3011 850 75 -600 280/09 RMK AO2
14926KSTC STC20050401053510204/01/05 05:35:31  5-MIN KSTC 011135Z AUTO 29009KT 10SM SCT080 01/M03 A3011 850 75 -600 290/09 RMK AO2
14926KSTC STC20050401054010204/01/05 05:40:31  5-MIN KSTC 011140Z AUTO 29010KT 10SM BKN080 01/M03 A3011 850 75 -600 290/10 RMK AO2
14926KSTC STC20050401054511004/01/05 05:45:31  5-MIN KSTC 011145Z AUTO 29009KT 10SM BKN080 BKN090  01/M03 A3011 850 75 -600 290/09 RMK AO2
14926KSTC STC20050401055014504/01/05 05:50:31  5-MIN KSTC 011150Z AUTO 29008KT 10SM BKN080 BKN090  01/M03 A3011 850 75 -600 280/08 RMK AO2 SLP212 T00061033 10044 20006 58001
14926KSTC STC20050401055511004/01/05 05:55:31  5-MIN KSTC 011155Z AUTO 28008KT 10SM BKN075 BKN090  01/M03 A3011 850 78 -600 280/08 RMK AO2
14926KSTC STC20050401060011004/01/05 06:00:31  5-MIN KSTC 011200Z AUTO 28009KT 10SM BKN070 BKN090  01/M03 A3011 850 78 -600 280/09 RMK AO2
14926KSTC STC20050401060511004/01/05 06:05:31  5-MIN KSTC 011205Z AUTO 28009KT 10SM BKN070 BKN090  01/M03 A3011 850 78 -600 280/09 RMK AO2
14926KSTC STC20050401061011004/01/05 06:10:31  5-MIN KSTC 011210Z AUTO 29009KT 10SM SCT070 SCT090  01/M03 A3011 850 78 -600 290/09 RMK AO2
14926KSTC STC20050401061510204/01/05 06:15:31  5-MIN KSTC 011215Z AUTO 29009KT 10SM SCT070 01/M03 A3011 850 78 -600 290/09 RMK AO2
14926KSTC STC20050401062010204/01/05 06:20:31  5-MIN KSTC 011220Z AUTO 28009KT 10SM BKN070 01/M03 A3011 850 78 -600 280/09 RMK AO2
14926KSTC STC20050401062511004/01/05 06:25:31  5-MIN KSTC 011225Z AUTO 29009KT 10SM SCT075 BKN085  01/M03 A3011 850 78 -600 280/09 RMK AO2
14926KSTC STC20050401063011004/01/05 06:30:31  5-MIN KSTC 011230Z AUTO 30009KT 10SM FEW075 SCT085  01/M03 A3012 850 78 -600 290/09 RMK AO2
14926KSTC STC20050401063511004/01/05 06:35:31  5-MIN KSTC 011235Z AUTO 29010KT 10SM FEW075 SCT090  01/M03 A3012 850 78 -600 290/10 RMK AO2
14926KSTC STC20050401064011704/01/05 06:40:31  5-MIN KSTC 011240Z AUTO 29010KT 10SM FEW049 SCT075  BKN095 01/M03 A3011 850 78 -600 290/10 RMK AO2
14926KSTC STC20050401064511704/01/05 06:45:31  5-MIN KSTC 011245Z AUTO 30010KT 10SM FEW049 SCT080  BKN100 01/M03 A3012 840 75 -600 290/10 RMK AO2
14926KSTC STC20050401065012704/01/05 06:50:31  5-MIN KSTC 011250Z AUTO 30012KT 10SM FEW049 BKN090  01/M03 A3012 840 75 -600 300/12 RMK AO2 SLP216 T00111028
14926KSTC STC20050401065511004/01/05 06:55:31  5-MIN KSTC 011255Z AUTO 30014KT 10SM SCT049 BKN090  02/M03 A3012 840 72 -500 300/14 RMK AO2
14926KSTC STC20050401070011704/01/05 07:00:31  5-MIN KSTC 011300Z AUTO 30014KT 10SM SCT049 SCT080  BKN095 01/M03 A3012 840 75 -600 300/14 RMK AO2
14926KSTC STC20050401070511004/01/05 07:05:31  5-MIN KSTC 011305Z AUTO 30013KT 10SM FEW049 BKN095  01/M03 A3012 840 75 -600 300/13 RMK AO2
14926KSTC STC20050401071011004/01/05 07:10:31  5-MIN KSTC 011310Z AUTO 30011KT 10SM FEW049 BKN090  01/M03 A3012 840 75 -600 300/11 RMK AO2
14926KSTC STC20050401071511004/01/05 07:15:31  5-MIN KSTC 011315Z AUTO 31010KT 10SM FEW049 SCT090  01/M03 A3013 830 75 -600 310/10 RMK AO2
14926KSTC STC20050401072011004/01/05 07:20:31  5-MIN KSTC 011320Z AUTO 31012KT 10SM FEW047 SCT090  01/M02 A3013 830 78 -600 310/12 RMK AO2
14926KSTC STC20050401072511004/01/05 07:25:31  5-MIN KSTC 011325Z AUTO 31012KT 10SM FEW055 SCT095  02/M02 A3013 830 75 -500 310/12 RMK AO2
14926KSTC STC20050401073011004/01/05 07:30:31  5-MIN KSTC 011330Z AUTO 31016KT 10SM FEW055 SCT090  02/M02 A3013 830 72 -400 310/16 RMK AO2
14926KSTC STC20050401073510204/01/05 07:35:31  5-MIN KSTC 011335Z AUTO 31013KT 10SM FEW055 02/M02 A3013 830 72 -400 310/13 RMK AO2
14926KSTC STC20050401074011004/01/05 07:40:31  5-MIN KSTC 011340Z AUTO 31013KT 10SM SCT019 SCT055  02/M02 A3013 830 72 -400 310/13 RMK AO2
14926KSTC STC20050401074511004/01/05 07:45:31  5-MIN KSTC 011345Z AUTO 31014KT 10SM SCT019 SCT055  02/M02 A3013 830 72 -400 310/14 RMK AO2
14926KSTC STC20050401075012704/01/05 07:50:31  5-MIN KSTC 011350Z AUTO 32014KT 10SM FEW019 SCT055  02/M02 A3013 830 72 -400 310/14 RMK AO2 SLP220 T00221022
14926KSTC STC20050401075511004/01/05 07:55:31  5-MIN KSTC 011355Z AUTO 33015KT 10SM FEW019 SCT060  03/M02 A3013 830 69 -400 330/15 RMK AO2
14926KSTC STC20050401080011004/01/05 08:00:31  5-MIN KSTC 011400Z AUTO 32013KT 10SM FEW019 BKN060  03/M02 A3013 830 72 -400 320/13 RMK AO2
14926KSTC STC20050401080511004/01/05 08:05:31  5-MIN KSTC 011405Z AUTO 32016KT 10SM SCT017 SCT060  03/M02 A3013 830 72 -400 310/16 RMK AO2
14926KSTC STC20050401081011004/01/05 08:10:31  5-MIN KSTC 011410Z AUTO 32015KT 10SM SCT015 BKN060  02/M02 A3013 830 75 -400 320/15 RMK AO2
14926KSTC STC20050401081511604/01/05 08:15:31  5-MIN KSTC 011415Z AUTO 33013G19KT 10SM BKN015 BKN065  02/M02 A3013 830 75 -400 320/13G19 RMK AO2
