14926KSTC STC20110701000009907/01/11 00:00:35  5-MIN KSTC 010600Z AUTO 16005KT 10SM CLR 25/23 A2968 1250 87 2700 160/05 RMK AO2
14926KSTC STC20110701000509907/01/11 00:05:31  5-MIN KSTC 010605Z AUTO 16005KT 10SM CLR 25/23 A2968 1250 87 2700 160/05 RMK AO2
14926KSTC STC20110701001009907/01/11 00:10:31  5-MIN KSTC 010610Z AUTO 16005KT 10SM CLR 24/23 A2968 1250 90 2700 160/05 RMK AO2
14926KSTC STC20110701001509907/01/11 00:15:31  5-MIN KSTC 010615Z AUTO 17005KT 10SM CLR 24/23 A2968 1250 90 2700 170/05 RMK AO2
14926KSTC STC20110701002009907/01/11 00:20:31  5-MIN KSTC 010620Z AUTO 17005KT 10SM CLR 24/23 A2968 1250 90 2700 170/05 RMK AO2
14926KSTC STC20110701002509907/01/11 00:25:31  5-MIN KSTC 010625Z AUTO 17005KT 10SM CLR 25/23 A2968 1250 87 2700 170/05 RMK AO2
14926KSTC STC20110701003009907/01/11 00:30:31  5-MIN KSTC 010630Z AUTO 17005KT 10SM CLR 25/23 A2968 1250 87 2700 170/05 RMK AO2
14926KSTC STC20110701003509907/01/11 00:35:31  5-MIN KSTC 010635Z AUTO 18005KT 10SM CLR 25/23 A2968 1250 87 2700 180/05 RMK AO2
14926KSTC STC20110701004009907/01/11 00:40:31  5-MIN KSTC 010640Z AUTO 18005KT 10SM CLR 25/23 A2968 1250 87 2700 180/05 RMK AO2
14926KSTC STC20110701004509907/01/11 00:45:31  5-MIN KSTC 010645Z AUTO 18004KT 10SM CLR 25/23 A2968 1250 87 2700 180/04 RMK AO2
14926KSTC STC20110701005011607/01/11 00:50:31  5-MIN KSTC 010650Z AUTO 19003KT 10SM CLR 25/23 A2968 1250 87 2700 190/03 RMK AO2 SLP050 T02500228
14926KSTC STC20110701005509907/01/11 00:55:31  5-MIN KSTC 010655Z AUTO 18005KT 10SM CLR 25/23 A2968 1250 87 2700 180/05 RMK AO2
14926KSTC STC20110701010009907/01/11 01:00:31  5-MIN KSTC 010700Z AUTO 18004KT 10SM CLR 25/23 A2968 1250 87 2700 180/04 RMK AO2
