14926KSTC STC20040502195509905/02/04 19:55:31  5-MIN KSTC 030155Z AUTO 02003KT 10SM CLR 06/M07 A3016 800 39 -100 010/03 RMK AO2
14926KSTC STC20040502200009605/02/04 20:00:31  5-MIN KSTC 030200Z AUTO 00000KT 10SM CLR 06/M07 A3017 800 38 0 000/00 RMK AO2
14926KSTC STC20040502200509905/02/04 20:05:31  5-MIN KSTC 030205Z AUTO 01003KT 10SM CLR 06/M07 A3017 800 41 -100 010/03 RMK AO2
14926KSTC STC20040502201009905/02/04 20:10:31  5-MIN KSTC 030210Z AUTO 02003KT 10SM CLR 05/M07 A3017 800 42 -100 020/03 RMK AO2
14926KSTC STC20040502201509905/02/04 20:15:31  5-MIN KSTC 030215Z AUTO 03003KT 10SM CLR 05/M08 A3017 800 39 -100 030/03 RMK AO2
14926KSTC STC20040502202009905/02/04 20:20:31  5-MIN KSTC 030220Z AUTO 00000KT 10SM CLR 05/M08 A3017 800 39 -100 000/00 RMK AO2
14926KSTC STC20040502202509905/02/04 20:25:31  5-MIN KSTC 030225Z AUTO 05003KT 10SM CLR 05/M07 A3017 800 41 -100 050/03 RMK AO2
14926KSTC STC20040502203009905/02/04 20:30:31  5-MIN KSTC 030230Z AUTO 00000KT 10SM CLR 05/M07 A3017 790 41 -100 000/00 RMK AO2
14926KSTC STC20040502203509905/02/04 20:35:31  5-MIN KSTC 030235Z AUTO 00000KT 10SM CLR 04/M08 A3017 790 42 -300 000/00 RMK AO2
14926KSTC STC20040502204009905/02/04 20:40:31  5-MIN KSTC 030240Z AUTO 00000KT 10SM CLR 04/M08 A3017 790 41 -200 000/00 RMK AO2
14926KSTC STC20040502204509905/02/04 20:45:31  5-MIN KSTC 030245Z AUTO 00000KT 10SM CLR 04/M08 A3017 790 41 -200 000/00 RMK AO2
14926KSTC STC20040502205012205/02/04 20:50:31  5-MIN KSTC 030250Z AUTO 00000KT 10SM CLR 03/M07 A3018 790 50 -400 000/00 RMK AO2 SLP236 T00281067 58003
14926KSTC STC20040502205509905/02/04 20:55:31  5-MIN KSTC 030255Z AUTO 00000KT 10SM CLR 02/M07 A3018 790 54 -500 000/00 RMK AO2
14926KSTC STC20040502210009905/02/04 21:00:31  5-MIN KSTC 030300Z AUTO 00000KT 10SM CLR 03/M07 A3018 790 50 -400 000/00 RMK AO2
14926KSTC STC20040502210509905/02/04 21:05:31  5-MIN KSTC 030305Z AUTO 00000KT 10SM CLR 03/M07 A3018 790 46 -300 000/00 RMK AO2
14926KSTC STC20040502211009905/02/04 21:10:31  5-MIN KSTC 030310Z AUTO 00000KT 10SM CLR 04/M06 A3018 790 48 -300 000/00 RMK AO2
14926KSTC STC20040502211509905/02/04 21:15:31  5-MIN KSTC 030315Z AUTO 00000KT 10SM CLR 03/M06 A3018 790 50 -300 000/00 RMK AO2
14926KSTC STC20040502212009905/02/04 21:20:31  5-MIN KSTC 030320Z AUTO 00000KT 10SM CLR 03/M07 A3018 790 50 -400 000/00 RMK AO2
14926KSTC STC20040502212509905/02/04 21:25:31  5-MIN KSTC 030325Z AUTO 00000KT 10SM CLR 02/M07 A3018 790 50 -500 000/00 RMK AO2
14926KSTC STC20040502213009905/02/04 21:30:31  5-MIN KSTC 030330Z AUTO 00000KT 10SM CLR 02/M07 A3018 790 54 -600 000/00 RMK AO2
14926KSTC STC20040502213509905/02/04 21:35:31  5-MIN KSTC 030335Z AUTO 00000KT 10SM CLR 02/M07 A3018 790 52 -500 000/00 RMK AO2
14926KSTC STC20040502214009905/02/04 21:40:31  5-MIN KSTC 030340Z AUTO 00000KT 10SM CLR 02/M07 A3018 790 54 -600 000/00 RMK AO2
14926KSTC STC20040502214509905/02/04 21:45:31  5-MIN KSTC 030345Z AUTO 00000KT 10SM CLR 02/M07 A3018 790 52 -500 000/00 RMK AO2
14926KSTC STC20040502215011605/02/04 21:50:31  5-MIN KSTC 030350Z AUTO 00000KT 10SM CLR 02/M07 A3018 790 52 -500 000/00 RMK AO2 SLP236 T00221067
14926KSTC STC20040502215509905/02/04 21:55:31  5-MIN KSTC 030355Z AUTO 00000KT 10SM CLR 01/M06 A3018 790 61 -600 000/00 RMK AO2
14926KSTC STC20040502220009905/02/04 22:00:31  5-MIN KSTC 030400Z AUTO 00000KT 10SM CLR 01/M06 A3018 790 61 -600 000/00 RMK AO2
14926KSTC STC20040502220509905/02/04 22:05:31  5-MIN KSTC 030405Z AUTO 00000KT 10SM CLR 01/M08 A3017 790 51 -600 000/00 RMK AO2
14926KSTC STC20040502221009905/02/04 22:10:31  5-MIN KSTC 030410Z AUTO 00000KT 10SM CLR 01/M08 A3017 790 54 -700 000/00 RMK AO2
14926KSTC STC20040502221509905/02/04 22:15:31  5-MIN KSTC 030415Z AUTO 00000KT 10SM CLR 00/M08 A3017 790 56 -800 000/00 RMK AO2
