14926KSTC STC20040201022512002/01/04 02:25:31  5-MIN KSTC 010825Z AUTO 07003KT 1 1/2SM -SN BR OVC013 M15/M16 A3015 810 91 -2700 070/03 RMK AO2 P0000
14926KSTC STC20040201023012002/01/04 02:30:31  5-MIN KSTC 010830Z AUTO 08004KT 1 1/2SM -SN BR OVC013 M15/M16 A3015 820 91 -2700 080/04 RMK AO2 P0000
14926KSTC STC20040201023512002/01/04 02:35:31  5-MIN KSTC 010835Z AUTO 08004KT 1 1/2SM -SN BR OVC013 M15/M16 A3015 820 91 -2700 070/04 RMK AO2 P0000
14926KSTC STC20040201024012002/01/04 02:40:31  5-MIN KSTC 010840Z AUTO 07004KT 1 1/2SM -SN BR OVC013 M15/M16 A3015 820 91 -2700 070/04 RMK AO2 P0000
14926KSTC STC20040201024512002/01/04 02:45:31  5-MIN KSTC 010845Z AUTO 07004KT 1 1/2SM -SN BR OVC013 M15/M17 A3015 820 87 -2700 060/04 RMK AO2 P0000
14926KSTC STC20040201025014902/01/04 02:50:31  5-MIN KSTC 010850Z AUTO 07004KT 1 1/2SM -SN BR OVC013 M15/M16 A3015 820 91 -2700 060/04 RMK AO2 SLP244 P0000 60001 T11501161 53010
14926KSTC STC20040201025512002/01/04 02:55:31  5-MIN KSTC 010855Z AUTO 08004KT 1 1/4SM -SN BR OVC011 M15/M16 A3015 820 91 -2700 070/04 RMK AO2 P0000
14926KSTC STC20040201030011502/01/04 03:00:31  5-MIN KSTC 010900Z AUTO 07005KT 1SM -SN BR VV010 M15/M16 A3014 820 91 -2700 070/05 RMK AO2 P0001
14926KSTC STC20040201030511502/01/04 03:05:31  5-MIN KSTC 010905Z AUTO 08004KT 1SM -SN BR VV009 M15/M16 A3014 820 91 -2700 070/04 RMK AO2 P0002
14926KSTC STC20040201031011502/01/04 03:10:31  5-MIN KSTC 010910Z AUTO 08004KT 1SM -SN BR VV008 M15/M16 A3014 820 91 -2700 080/04 RMK AO2 P0002
14926KSTC STC20040201031511502/01/04 03:15:31  5-MIN KSTC 010915Z AUTO 09004KT 1SM -SN BR VV007 M15/M16 A3014 820 91 -2700 080/04 RMK AO2 P0002
14926KSTC STC20040201032011702/01/04 03:20:31  5-MIN KSTC 010920Z AUTO 09004KT 3/4SM -SN BR VV006 M15/M16 A3014 820 91 -2700 090/04 RMK AO2 P0002
14926KSTC STC20040201032511702/01/04 03:25:31  5-MIN KSTC 010925Z AUTO 08005KT 3/4SM -SN BR VV006 M15/M16 A3014 820 91 -2700 080/05 RMK AO2 P0003
14926KSTC STC20040201033011702/01/04 03:30:31  5-MIN KSTC 010930Z AUTO 09005KT 3/4SM -SN BR VV006 M15/M16 A3014 820 91 -2700 080/05 RMK AO2 P0004
14926KSTC STC20040201033511702/01/04 03:35:31  5-MIN KSTC 010935Z AUTO 08003KT 3/4SM -SN BR VV006 M15/M16 A3014 830 91 -2700 070/03 RMK AO2 P0004
14926KSTC STC20040201034011702/01/04 03:40:31  5-MIN KSTC 010940Z AUTO 08005KT 3/4SM -SN BR VV006 M15/M16 A3014 830 91 -2700 070/05 RMK AO2 P0004
14926KSTC STC20040201034511702/01/04 03:45:31  5-MIN KSTC 010945Z AUTO 08005KT 3/4SM -SN BR VV006 M15/M16 A3014 830 91 -2700 080/05 RMK AO2 P0004
14926KSTC STC20040201035013402/01/04 03:50:31  5-MIN KSTC 010950Z AUTO 10005KT 3/4SM -SN BR VV006 M15/M16 A3014 830 91 -2700 090/05 RMK AO2 SLP242 P0005 T11501161
14926KSTC STC20040201035511702/01/04 03:55:31  5-MIN KSTC 010955Z AUTO 10005KT 3/4SM -SN BR VV005 M15/M16 A3014 820 96 -2700 100/05 RMK AO2 P0000
14926KSTC STC20040201040017402/01/04 04:00:31  5-MIN KSTC 011000Z AUTO 09005KT 3/4SM -SN BR VV006 M15/M16 A3014 830 91 -2700 090/05 RMK AO2 P0000 009 M15/M16:05:3 A3014 820 96 -2700 100/05 RMK AO2 P0000
14926KSTC STC20040201041511502/01/04 04:15:31  5-MIN KSTC 011015Z AUTO 09004KT 1SM -SN BR VV011 M15/M16 A3014 820 91 -2700 090/04 RMK AO2 P0000
14926KSTC STC20040201042013202/01/04 04:20:31  5-MIN KSTC 011020Z AUTO 10005KT 1SM -SN BR VV012 M15/ N013 OVC030 M14/M16 A3014 820 91 -2600 090/05 RMK AO2 P0001
14926KSTC STC20040201043512702/01/04 04:35:31  5-MIN KSTC 011035Z AUTO 09005KT 1 1/4SM -SN BR BKN015 OVC030 M14/M16 A3014 820 91 -2600 090/05 RMK AO2 P0001
14926KSTC STC20040201044004802/01/04 04:40:31  5-MIN KSTC 011040Z AUTO 09005
14926KSTC STC20040201044512702/01/04 04:45:31  5-MIN KSTC 011045Z AUTO 09004KT 2 1/2SM -SN BR BKN015 OVC030 M14/M16 A3014 820 91 -2600 090/04 RMK AO2 P0001
14926KSTC STC20040201045015102/01/04 04:50:31  5-MIN KSTC 011050Z AUTO 08005KT 1 3/4SM -SN BR BKN013 BKN019 OVC030 M14/M16 A3014 820 91 -2600 080/05 RMK AO2 SLP241 P0001 T11441156
14926KSTC STC20040201045512702/01/04 04:55:31  5-MIN KSTC 011055Z AUTO 07004KT 1 1/4SM -SN BR BKN011 OVC030 M14/M16 A3014 820 91 -2600 070/04 RMK AO2 P0000
14926KSTC STC20040201050016802/01/04 05:00:31  5-MIN KSTC 011100Z AUTO 07005KT 1 1/4SM -SN B  KSTC 011105Z AUTO 07004KT 1 1/4SM -SN BR BKN011 OVC029 M15/M16 A3014 820 96 -2700 060/04 RMK AO2 P0000
14926KSTC STC20040201051012702/01/04 05:10:31  5-MIN KSTC 011110Z AUTO 08004KT 1 1/2SM -SN BR BKN011 OVC029 M14/M16 A3014 820 91 -2600 070/04 RMK AO2 P0000
14926KSTC STC20040201052512702/01/04 05:25:31  5-MIN KSTC 011125Z AUTO 08004KT 1 1/2SM -SN BR BKN013 OVC029 M14/M16 A3014 820 91 -2600 080/04 RMK AO2 P0000
14926KSTC STC20040201053010502/01/04 05:30:31  5-MIN KSTC 011130Z AUTO 09006KT 1 1/2SM -SN BR BKN013 OVC029 M14/M16 A3014 820 91 -260
14926KSTC STC20040201054511502/01/04 05:45:31  5-MIN KSTC 011145Z AUTO 09004KT 1SM -SN BR VV010 M14/M16 A3014 820 91 -2600 090/04 RMK AO2 P0000
14926KSTC STC20040201055016202/01/04 05:50:31  5-MIN KSTC 011150Z AUTO 09005KT 1SM -SN BR VV010 M14/M16 A3015 820 91 -2600 090/05 RMK AO2 SLP243 P0001 60010 70010 T11441156 11144 21150 53004
14926KSTC STC20040201055511502/01/04 05:55:31  5-MIN KSTC 011155Z AUTO 09005KT 1SM -SN BR VV009 M14/M16 A3015 820 91 -2600 090/05 RMK AO2 P0000
14926KSTC STC20040201060011502/01/04 06:00:31  5-MIN KSTC 011200Z AUTO 08004KT 1SM -SN BR VV008 M14/M16 A3015 820 91 -2600 080/04 RMK AO2 P0000
14926KSTC STC20040201060511502/01/04 06:05:31  5-MIN KSTC 011205Z AUTO 09004KT 1SM -SN BR VV010 M14/M15 A3015 820 96 -2600 080/04 RMK AO2 P0000
14926KSTC STC20040201061012002/01/04 06:10:31  5-MIN KSTC 011210Z AUTO 08004KT 1 1/4SM -SN BR OVC010 M14/M15 A3015 820 96 -2600 080/04 RMK AO2 P0000
