14926KSTC STC20050501025016405/01/05 02:50:31  5-MIN KSTC 010850Z AUTO 31010KT 10SM FEW015 BKN070  OVC090 01/M02 A2997 980 82 -500 300/10 RMK AO2 SNB0758E27 SLP166 P0000  60000 T00061022 58001
14926KSTC STC20050501025511705/01/05 02:55:31  5-MIN KSTC 010855Z AUTO 31012KT 10SM FEW015 BKN070  BKN095 01/M02 A2997 980 82 -500 310/12 RMK AO2
14926KSTC STC20050501030011705/01/05 03:00:31  5-MIN KSTC 010900Z AUTO 31010KT 10SM FEW043 BKN070  BKN090 01/M02 A2997 980 82 -500 300/10 RMK AO2
14926KSTC STC20050501030511705/01/05 03:05:31  5-MIN KSTC 010905Z AUTO 31012KT 10SM FEW043 SCT075  BKN090 00/M03 A2997 980 81 -500 310/12 RMK AO2
14926KSTC STC20050501031011005/01/05 03:10:31  5-MIN KSTC 010910Z AUTO 31010KT 10SM FEW075 BKN090  00/M03 A2997 980 81 -500 300/10 RMK AO2
14926KSTC STC20050501031511705/01/05 03:15:31  5-MIN KSTC 010915Z AUTO 31010KT 10SM FEW041 SCT075  BKN090 00/M03 A2997 980 81 -500 310/10 RMK AO2
14926KSTC STC20050501032011005/01/05 03:20:31  5-MIN KSTC 010920Z AUTO 31011KT 10SM SCT041 OVC090  00/M03 A2997 980 81 -500 300/11 RMK AO2
14926KSTC STC20050501032511005/01/05 03:25:31  5-MIN KSTC 010925Z AUTO 30012KT 10SM BKN041 OVC090  01/M03 A2997 980 78 -500 300/12 RMK AO2
14926KSTC STC20050501033011005/01/05 03:30:31  5-MIN KSTC 010930Z AUTO 30011KT 10SM BKN041 OVC090  01/M03 A2997 980 78 -500 300/11 RMK AO2
14926KSTC STC20050501033511705/01/05 03:35:31  5-MIN KSTC 010935Z AUTO 30011KT 10SM BKN041 BKN050  OVC090 00/M03 A2997 980 81 -500 290/11 RMK AO2
14926KSTC STC20050501034011705/01/05 03:40:31  5-MIN KSTC 010940Z AUTO 29010KT 10SM BKN041 BKN050  OVC070 00/M03 A2997 980 81 -500 290/10 RMK AO2
14926KSTC STC20050501034511705/01/05 03:45:31  5-MIN KSTC 010945Z AUTO 30009KT 10SM BKN041 BKN050  BKN075 00/M03 A2997 980 81 -500 290/09 RMK AO2
14926KSTC STC20050501035013405/01/05 03:50:31  5-MIN KSTC 010950Z AUTO 29010KT 10SM FEW043 BKN055  BKN075 00/M03 A2997 980 81 -500 290/10 RMK AO2 SLP166 T00001028
14926KSTC STC20050501035511705/01/05 03:55:31  5-MIN KSTC 010955Z AUTO 29010KT 10SM FEW043 SCT060  BKN075 00/M03 A2997 980 78 -500 290/10 RMK AO2
14926KSTC STC20050501040011705/01/05 04:00:31  5-MIN KSTC 011000Z AUTO 29010KT 10SM FEW049 SCT060  BKN075 00/M03 A2997 980 78 -500 290/10 RMK AO2
