14926KSTC STC20020101163510101/01/02 16:35:31  5-MIN KSTC 012235Z AUTO 34004KT 10SM CLR M12/M17 A3049 510 67 -2600 340/04 RMK AO2
14926KSTC STC20020101164010101/01/02 16:40:31  5-MIN KSTC 012240Z AUTO 34004KT 10SM CLR M12/M17 A3048 510 70 -2700 330/04 RMK AO2
14926KSTC STC20020101164510101/01/02 16:45:31  5-MIN KSTC 012245Z AUTO 34004KT 10SM CLR M12/M17 A3049 510 70 -2700 340/04 RMK AO2
14926KSTC STC20020101165011801/01/02 16:50:31  5-MIN KSTC 012250Z AUTO 32004KT 10SM CLR M12/M17 A3048 510 70 -2700 320/04 RMK AO2 SLP357 T11221167
14926KSTC STC20020101165510101/01/02 16:55:31  5-MIN KSTC 012255Z AUTO 33004KT 10SM CLR M12/M17 A3049 510 70 -2700 330/04 RMK AO2
14926KSTC STC20020101170010101/01/02 17:00:31  5-MIN KSTC 012300Z AUTO 33004KT 10SM CLR M12/M17 A3049 510 70 -2700 330/04 RMK AO2
14926KSTC STC20020101170510101/01/02 17:05:31  5-MIN KSTC 012305Z AUTO 33004KT 10SM CLR M13/M17 A3049 500 73 -2800 330/04 RMK AO2
14926KSTC STC20020101171010101/01/02 17:10:31  5-MIN KSTC 012310Z AUTO 33004KT 10SM CLR M13/M17 A3049 500 73 -2800 320/04 RMK AO2
14926KSTC STC20020101171510101/01/02 17:15:31  5-MIN KSTC 012315Z AUTO 33004KT 10SM CLR M13/M17 A3049 500 76 -2900 320/04 RMK AO2
14926KSTC STC20020101172010101/01/02 17:20:31  5-MIN KSTC 012320Z AUTO 32004KT 10SM CLR M13/M17 A3050 500 73 -2900 320/04 RMK AO2
14926KSTC STC20020101172510101/01/02 17:25:31  5-MIN KSTC 012325Z AUTO 32004KT 10SM CLR M13/M17 A3050 500 73 -2900 320/04 RMK AO2
14926KSTC STC20020101173010101/01/02 17:30:31  5-MIN KSTC 012330Z AUTO 32003KT 10SM CLR M14/M17 A3050 490 76 -2900 320/03 RMK AO2
14926KSTC STC20020101173510101/01/02 17:35:31  5-MIN KSTC 012335Z AUTO 32003KT 10SM CLR M14/M17 A3050 490 76 -2900 320/03 RMK AO2
14926KSTC STC20020101174010101/01/02 17:40:31  5-MIN KSTC 012340Z AUTO 32005KT 10SM CLR M14/M17 A3050 490 76 -2900 320/05 RMK AO2
14926KSTC STC20020101174510101/01/02 17:45:31  5-MIN KSTC 012345Z AUTO 33004KT 10SM CLR M14/M17 A3050 490 76 -2900 320/04 RMK AO2
14926KSTC STC20020101175013601/01/02 17:50:31  5-MIN KSTC 012350Z AUTO 33004KT 10SM CLR M14/M17 A3050 490 80 -3000 320/04 RMK AO2 SLP364 T11441172 11106 21144 53005
14926KSTC STC20020101175510101/01/02 17:55:31  5-MIN KSTC 012355Z AUTO 33003KT 10SM CLR M14/M17 A3050 490 80 -3000 330/03 RMK AO2
14926KSTC STC20020101180010101/01/02 18:00:31  5-MIN KSTC 020000Z AUTO 33003KT 10SM CLR M14/M17 A3051 490 80 -3000 330/03 RMK AO2
14926KSTC STC20020101180510101/01/02 18:05:31  5-MIN KSTC 020005Z AUTO 33003KT 10SM CLR M14/M17 A3050 490 80 -3000 330/03 RMK AO2
