14926KSTC STC20190601093010406/01/19 09:30:31  5-MIN KSTC 011530Z 35007KT 10SM CLR 17/10 A2989 1050 62 1600 340/07 RMK AO2 T01720100
14926KSTC STC20190601093510406/01/19 09:35:31  5-MIN KSTC 011535Z 33008KT 10SM CLR 18/11 A2989 1060 62 1700 320/08 RMK AO2 T01780106
14926KSTC STC20190601094010406/01/19 09:40:31  5-MIN KSTC 011540Z VRB05KT 10SM CLR 18/10 A2989 1060 60 1700 VRB/05 RMK AO2 T01780100
14926KSTC STC20190601094510406/01/19 09:45:31  5-MIN KSTC 011545Z 35008KT 10SM CLR 18/10 A2989 1050 58 1700 350/08 RMK AO2 T01830100
14926KSTC STC20190601095011106/01/19 09:50:31  5-MIN KSTC 011550Z 35006KT 10SM CLR 18/09 A2989 1050 54 1700 350/06 RMK AO2 SLP128 T01830089
14926KSTC STC20190601095510406/01/19 09:55:31  5-MIN KSTC 011555Z 35007KT 10SM CLR 18/09 A2989 1050 56 1700 350/07 RMK AO2 T01830094
14926KSTC STC20190601100012006/01/19 10:00:31  5-MIN KSTC 011600Z 34007KT 310V020 10SM CLR 18/09 A2989 1050 56 1700 340/07 310V020 RMK AO2 T01830094
14926KSTC STC20190601100510406/01/19 10:05:31  5-MIN KSTC 011605Z 36009KT 10SM CLR 18/09 A2989 1050 54 1700 360/09 RMK AO2 T01830089
14926KSTC STC20190601101010406/01/19 10:10:31  5-MIN KSTC 011610Z 34010KT 10SM CLR 18/08 A2989 1050 52 1700 340/10 RMK AO2 T01830083
14926KSTC STC20190601101505006/01/19 10:15:31  5-MIN KSTC 011615Z AUTO RVRNO $
14926KSTC STC20190601102010206/01/19 10:20:31  5-MIN KSTC 011620Z AUTO 33008KT 18/08 A2989 1050 52 1700 330/08 RMK AO2 T01830083 $
14926KSTC STC20190601102511306/01/19 10:25:31  5-MIN KSTC 011625Z AUTO 35010G18KT 10SM 18/08 A2989 1050 50 1700 350/10G18 RMK AO2 T01830078 $
14926KSTC STC20190601103011306/01/19 10:30:31  5-MIN KSTC 011630Z AUTO 33009G18KT 10SM 19/08 A2989 1050 48 1800 330/09G18 RMK AO2 T01890078 $
14926KSTC STC20190601103510706/01/19 10:35:31  5-MIN KSTC 011635Z AUTO 36009KT 10SM 19/08 A2989 1060 48 1800 360/09 RMK AO2 T01890078 $
14926KSTC STC20190601104011306/01/19 10:40:31  5-MIN KSTC 011640Z AUTO 35011G15KT 10SM 19/08 A2989 1060 48 1800 350/11G15 RMK AO2 T01890078 $
14926KSTC STC20190601104511306/01/19 10:45:31  5-MIN KSTC 011645Z AUTO 35009G16KT 10SM 19/08 A2989 1060 50 1800 350/09G16 RMK AO2 T01890083 $
14926KSTC STC20190601105012406/01/19 10:50:31  5-MIN KSTC 011650Z AUTO VRB06G16KT 10SM CLR 19/08 A2989 1050 48 1900 VRB/06G16 RMK AO2 SLP128 T01940083 $
14926KSTC STC20190601105510606/01/19 10:55:31  5-MIN KSTC 011655Z 35007KT 10SM CLR 19/09 A2989 1050 50 1900 350/07 RMK AO2 T01940089 $
14926KSTC STC20190601110011206/01/19 11:00:31  5-MIN KSTC 011700Z 36006G14KT 10SM CLR 19/08 A2989 1050 48 1900 350/06G14 RMK AO2 T01940083 $
14926KSTC STC20190601110511206/01/19 11:05:31  5-MIN KSTC 011705Z 33006G14KT 10SM CLR 19/09 A2989 1050 50 1900 320/06G14 RMK AO2 T01940089 $
14926KSTC STC20190601111010606/01/19 11:10:31  5-MIN KSTC 011710Z 31006KT 10SM CLR 19/09 A2989 1050 50 1900 310/06 RMK AO2 T01940089 $
14926KSTC STC20190601111511206/01/19 11:15:31  5-MIN KSTC 011715Z 33008G18KT 10SM CLR 20/08 A2989 1050 46 1900 320/08G18 RMK AO2 T02000083 $
14926KSTC STC20190601112011206/01/19 11:20:31  5-MIN KSTC 011720Z VRB06G18KT 10SM CLR 20/08 A2989 1060 46 1900 VRB/06G18 RMK AO2 T02000083 $
14926KSTC STC20190601112510606/01/19 11:25:31  5-MIN KSTC 011725Z 01009KT 10SM CLR 20/08 A2989 1060 46 1900 010/09 RMK AO2 T02000083 $
14926KSTC STC20190601113010906/01/19 11:30:31  5-MIN KSTC 011730Z 33010KT 10SM FEW046 20/08 A2988 1060 46 1900 330/10 RMK AO2 T02000083 $
14926KSTC STC20190601113510906/01/19 11:35:31  5-MIN KSTC 011735Z 32008KT 10SM FEW046 20/07 A2988 1060 43 1900 320/08 RMK AO2 T02000072 $
14926KSTC STC20190601114010906/01/19 11:40:31  5-MIN KSTC 011740Z 34006KT 10SM FEW046 21/07 A2988 1060 41 2000 340/06 RMK AO2 T02060072 $
