14926KSTC STC20050601055509706/01/05 05:55:31  5-MIN KSTC 011155Z 07003KT 10SM OVC100 16/13 A3001 940  83 1300 070/03 RMK AO2
14926KSTC STC20050601060009706/01/05 06:00:31  5-MIN KSTC 011200Z 06003KT 10SM OVC095 16/13 A3001 940  83 1300 060/03 RMK AO2
14926KSTC STC20050601060509706/01/05 06:05:31  5-MIN KSTC 011205Z 00000KT 10SM OVC095 16/13 A3001 940  83 1300 000/00 RMK AO2
14926KSTC STC20050601061009706/01/05 06:10:31  5-MIN KSTC 011210Z 00000KT 10SM OVC095 16/13 A3002 940  83 1300 000/00 RMK AO2
14926KSTC STC20050601061509706/01/05 06:15:31  5-MIN KSTC 011215Z 00000KT 10SM OVC090 16/12 A3002 940  80 1300 000/00 RMK AO2
14926KSTC STC20050601062009706/01/05 06:20:31  5-MIN KSTC 011220Z 00000KT 10SM OVC090 16/12 A3002 940  77 1300 000/00 RMK AO2
14926KSTC STC20050601062509706/01/05 06:25:31  5-MIN KSTC 011225Z 00000KT 10SM OVC090 16/12 A3001 940  77 1300 000/00 RMK AO2
14926KSTC STC20050601063009706/01/05 06:30:31  5-MIN KSTC 011230Z 00000KT 10SM OVC090 16/12 A3001 940  77 1300 000/00 RMK AO2
14926KSTC STC20050601063510406/01/05 06:35:31  5-MIN KSTC 011235Z 00000KT 10SM FEW075 OVC090 16/13  A3001 940 80 1300 000/00 RMK AO2
14926KSTC STC20050601064010406/01/05 06:40:31  5-MIN KSTC 011240Z 08003KT 10SM SCT075 OVC090 16/13  A3001 940 80 1300 070/03 RMK AO2
14926KSTC STC20050601064510406/01/05 06:45:31  5-MIN KSTC 011245Z 07003KT 10SM SCT075 OVC090 16/13  A3001 940 80 1300 070/03 RMK AO2
14926KSTC STC20050601065011406/01/05 06:50:31  5-MIN KSTC 011250Z 00000KT 10SM OVC085 17/13 A3001 940  77 1400 000/00 RMK AO2 SLP168 T01670128
14926KSTC STC20050601065509706/01/05 06:55:31  5-MIN KSTC 011255Z 09003KT 10SM OVC085 17/13 A3001 940  77 1400 090/03 RMK AO2
14926KSTC STC20050601070009706/01/05 07:00:31  5-MIN KSTC 011300Z 10004KT 10SM OVC085 17/13 A3001 940  77 1400 100/04 RMK AO2
14926KSTC STC20050601070510406/01/05 07:05:31  5-MIN KSTC 011305Z 11004KT 10SM FEW075 BKN090 17/13  A3001 940 77 1400 100/04 RMK AO2
14926KSTC STC20050601071010406/01/05 07:10:31  5-MIN KSTC 011310Z 10005KT 10SM FEW075 BKN090 17/12  A3002 940 75 1400 100/05 RMK AO2
14926KSTC STC20050601071509706/01/05 07:15:31  5-MIN KSTC 011315Z 10005KT 10SM BKN090 17/12 A3002 940  75 1400 100/05 RMK AO2
14926KSTC STC20050601072009706/01/05 07:20:31  5-MIN KSTC 011320Z 11004KT 10SM BKN090 17/12 A3002 940  75 1400 110/04 RMK AO2
14926KSTC STC20050601072509706/01/05 07:25:31  5-MIN KSTC 011325Z 12004KT 10SM BKN090 17/13 A3002 940  77 1400 120/04 RMK AO2
14926KSTC STC20050601073011306/01/05 07:30:31  5-MIN KSTC 011330Z 11004KT 10SM -RA BKN085 17/13 A3002  940 77 1400 110/04 RMK AO2 RAB27 P0000
14926KSTC STC20050601073511306/01/05 07:35:31  5-MIN KSTC 011335Z 10005KT 10SM -RA BKN080 17/13 A3002  940 77 1400 100/05 RMK AO2 RAB27 P0000
14926KSTC STC20050601074011906/01/05 07:40:31  5-MIN KSTC 011340Z 12004KT 10SM -RA FEW020 BKN080 17/13 A3002 940 77 1400 110/04 RMK AO2 RAB27 P0000
14926KSTC STC20050601074511906/01/05 07:45:31  5-MIN KSTC 011345Z 11004KT 10SM -RA FEW022 BKN080 17/13 A3002 940 80 1400 110/04 RMK AO2 RAB27 P0000
14926KSTC STC20050601075013606/01/05 07:50:31  5-MIN KSTC 011350Z 10004KT 10SM -RA FEW031 SCT080 17/13 A3002 940 80 1400 090/04 RMK AO2 RAB27 SLP170 P0000 T01670133
14926KSTC STC20050601075511306/01/05 07:55:31  5-MIN KSTC 011355Z 10004KT 10SM -RA FEW036 SCT075 17/13 A3001 940 80 1400 100/04 RMK AO2 P0000
14926KSTC STC20050601080011306/01/05 08:00:31  5-MIN KSTC 011400Z 10004KT 10SM -RA FEW034 SCT080 17/13 A3001 940 77 1400 100/04 RMK AO2 P0000
14926KSTC STC20050601080510706/01/05 08:05:31  5-MIN KSTC 011405Z 09004KT 10SM -RA FEW032 17/13 A3001  940 80 1400 090/04 RMK AO2 P0000
14926KSTC STC20050601081010706/01/05 08:10:31  5-MIN KSTC 011410Z 09003KT 10SM -RA FEW041 17/13 A3001  940 75 1500 090/03 RMK AO2 P0000
14926KSTC STC20050601081510706/01/05 08:15:31  5-MIN KSTC 011415Z 10004KT 10SM -RA FEW044 17/13 A3002  940 77 1400 100/04 RMK AO2 P0000
14926KSTC STC20050601082010906/01/05 08:20:31  5-MIN KSTC 011420Z 11003KT 10SM FEW095 17/13 A3001 940  75 1500 100/03 RMK AO2 RAE20 P0000
14926KSTC STC20050601082510906/01/05 08:25:31  5-MIN KSTC 011425Z 11003KT 10SM FEW044 17/13 A3002 940  80 1400 110/03 RMK AO2 RAE20 P0000
